Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Room,Encoded_First_Name
0,3,0,22,1,0,7.25,S,,,597
1,1,1,38,1,0,71.2833,C,3,85,419
1,3,1,26,0,0,7.925,S,,,482
1,1,1,35,1,0,53.1,S,3,123,379
0,3,0,35,0,0,8.05,S,,,782
0,3,0,,0,0,8.4583,Q,,,382
0,1,0,54,0,0,51.8625,S,5,46,732
0,3,0,2,3,1,21.075,S,,,301
1,3,1,27,0,2,11.1333,S,,,594
1,2,1,14,1,0,30.0708,C,,,577
1,3,1,4,1,1,16.7,S,7,6,530
1,1,1,58,0,0,26.55,S,3,103,206
0,3,0,20,0,0,8.05,S,,,782
0,3,0,39,1,5,31.275,S,,,58
0,3,1,14,0,0,7.8542,S,,,364
1,2,1,55,0,0,16,S,,,13
0,3,0,2,4,1,29.125,Q,,,246
1,2,0,,0,0,13,S,,,133
0,3,1,31,1,0,18,S,,,456
1,3,1,,0,0,7.225,C,,,254
0,2,0,35,0,0,26,S,,,444
1,2,0,34,0,0,13,S,4,56,485
1,3,1,15,0,0,8.0292,Q,,,66
1,1,0,28,0,0,35.5,S,1,6,792
0,3,1,8,3,1,21.075,S,,,734
1,3,1,38,1,5,31.3875,S,,,119
0,3,0,,0,0,7.225,C,,,253
0,1,0,19,3,2,263,S,3,23 C25 C27,129
1,3,1,,0,0,7.8792,Q,,,212
0,3,0,,0,0,7.8958,S,,,483
0,1,0,40,0,0,27.7208,C,,,519
1,1,1,,1,0,146.5208,C,2,78,771
1,3,1,,0,0,7.75,Q,,,545
0,2,0,66,0,0,10.5,S,,,186
0,1,0,28,1,0,82.1708,C,,,172
0,1,0,42,1,0,52,S,,,35
1,3,0,,0,0,7.2292,C,,,311
0,3,0,21,0,0,8.05,S,,,233
0,3,1,18,2,0,18,S,,,97
1,3,1,14,1,0,11.2417,C,,,391
0,3,1,40,1,0,9.475,S,,,403
0,2,1,27,1,0,21,S,,,787
0,3,0,,0,0,7.8958,C,,,708
1,2,1,3,1,2,41.5792,C,,,684
1,3,1,19,0,0,7.8792,Q,,,525
0,3,0,,0,0,8.05,S,,,785
0,3,0,,1,0,15.5,Q,,,161
1,3,1,,0,0,7.75,Q,,,114
0,3,0,,2,0,21.6792,C,,,797
0,3,1,18,1,0,17.8,S,,,438
0,3,0,7,4,1,39.6875,S,,,452
0,3,0,21,0,0,7.8,S,,,637
1,1,1,49,1,0,76.7292,C,4,33,349
1,2,1,29,1,0,26,S,,,503
0,1,0,65,0,1,61.9792,C,2,30,226
1,1,0,,0,0,35.5,S,3,52,362
1,2,1,21,0,0,10.5,S,,,222
0,3,0,28.5,0,0,7.2292,C,,,517
1,2,1,5,1,2,27.75,S,,,148
0,3,0,11,5,2,46.9,S,,,780
0,3,0,22,0,0,7.2292,C,,,593
1,1,1,38,0,0,80,,2,28,54
0,1,0,45,1,0,83.475,S,3,83,339
0,3,0,4,3,2,27.9,S,,,319
0,1,0,,0,0,27.7208,C,,,26
1,3,0,,1,1,15.2458,C,,,297
1,2,1,29,0,0,10.5,S,6,33,6
0,3,0,19,0,0,8.1583,S,,,236
1,3,1,17,4,2,7.925,S,,,231
0,3,0,26,2,0,8.6625,S,,,747
0,2,0,32,0,0,10.5,S,,,697
0,3,1,16,5,2,46.9,S,,,499
0,2,0,21,0,0,73.5,S,,,51
0,3,0,26,1,0,14.4542,C,,,80
1,3,0,32,0,0,56.4958,S,,,486
0,3,0,25,0,0,7.65,S,6, G73,681
0,3,0,,0,0,7.8958,S,,,374
0,3,0,,0,0,8.05,S,,,627
1,2,0,0.83,0,2,29,S,,,32
1,3,1,30,0,0,12.475,S,,,206
0,3,0,22,0,0,9,S,,,17
1,3,0,29,0,0,9.5,S,,,392
1,3,1,,0,0,7.7875,Q,,,116
0,1,0,28,0,0,47.1,S,,,261
1,2,1,17,0,0,10.5,S,,,109
1,3,1,33,3,0,15.85,S,,,460
0,3,0,16,1,3,34.375,S,,,789
0,3,0,,0,0,8.05,S,,,674
1,1,1,23,3,2,263,S,3,23 C25 C27,511
0,3,0,24,0,0,8.05,S,,,257
0,3,0,29,0,0,8.05,S,,,219
0,3,0,20,0,0,7.8542,S,,,601
0,1,0,46,1,0,61.175,S,5,31,352
0,3,0,26,1,2,20.575,S,,,111
0,3,0,59,0,0,7.25,S,,,152
0,3,0,,0,0,8.05,S,,,138
0,1,0,71,0,0,34.6542,C,1,5,285
1,1,0,23,0,1,63.3583,C,4,10 D12,774
1,2,1,34,0,1,23,S,,,433
0,2,0,34,1,0,26,S,,,685
0,3,1,28,0,0,7.8958,S,,,550
0,3,0,,0,0,7.8958,S,,,598
0,1,0,21,0,1,77.2875,S,4,26,639
0,3,0,33,0,0,8.6542,S,,,307
0,3,0,37,2,0,7.925,S,,,60
0,3,0,28,0,0,7.8958,S,,,701
1,3,1,21,0,0,7.65,S,,,68
1,3,0,,0,0,7.775,S,,,30
0,3,0,38,0,0,7.8958,S,,,730
1,3,1,,1,0,24.15,Q,,,109
0,1,0,47,0,0,52,S,3,110,751
0,3,1,14.5,1,0,14.4542,C,,,356
0,3,0,22,0,0,8.05,S,,,158
0,3,1,20,1,0,9.825,S,,,473
0,3,1,17,0,0,14.4583,C,,,514
0,3,0,21,0,0,7.925,S,,,176
0,3,0,70.5,0,0,7.75,Q,,,599
0,2,0,29,1,0,21,S,,,786
0,1,0,24,0,1,247.5208,C,2,58 B60,626
0,3,1,2,4,2,31.275,S,,,214
0,2,0,21,2,0,73.5,S,,,691
0,3,0,,0,0,8.05,S,,,492
0,2,0,32.5,1,0,30.0708,C,,,576
1,2,1,32.5,0,0,13,S,5,101,702
0,1,0,54,0,1,77.2875,S,4,26,610
1,3,0,12,1,0,11.2417,C,,,200
0,3,0,,0,0,7.75,Q,,,542
1,3,0,24,0,0,7.1417,S,,,281
1,3,1,,1,1,22.3583,C,6, E69,65
0,3,0,45,0,0,6.975,S,,,402
0,3,0,33,0,0,7.8958,C,,,449
0,3,0,20,0,0,7.05,S,,,165
0,3,1,47,1,0,14.5,S,,,34
1,2,1,29,1,0,26,S,,,495
0,2,0,25,0,0,13,S,,,666
0,2,0,23,0,0,15.0458,C,,,221
1,1,1,19,0,2,26.2833,S,4,47,333
0,1,0,37,1,0,53.1,S,3,123,378
0,3,0,16,0,0,9.2167,S,,,590
0,1,0,24,0,0,79.2,C,2,86,740
0,3,1,,0,2,15.2458,C,,,442
1,3,1,22,0,0,7.75,S,,,69
1,3,1,24,1,0,15.85,S,,,605
0,3,0,19,0,0,6.75,Q,,,398
0,2,0,18,0,0,11.5,S,,,174
0,2,0,19,1,1,36.75,S,,,443
1,3,0,27,0,0,7.7958,S,,,92
0,3,1,9,2,2,34.375,S,,,654
0,2,0,36.5,0,2,26,S,6,2,561
0,2,0,42,0,0,13,S,,,724
0,2,0,51,0,0,12.525,S,,,650
1,1,1,22,1,0,66.6,S,3,2,712
0,3,0,55.5,0,0,8.05,S,,,38
0,3,0,40.5,0,2,14.5,S,,,100
0,3,0,,0,0,7.3125,S,,,591
0,1,0,51,0,1,61.3792,C,,,131
1,3,1,16,0,0,7.7333,Q,,,471
0,3,0,30,0,0,8.05,S,,,323
0,3,0,,0,0,8.6625,S,,,564
0,3,0,,8,2,69.55,S,,,717
0,3,0,44,0,1,16.1,S,,,426
1,2,1,40,0,0,15.75,S,,,383
0,3,0,26,0,0,7.775,S,,,434
0,3,0,17,0,0,8.6625,S,,,448
0,3,0,1,4,1,39.6875,S,,,196
1,3,0,9,0,2,20.525,S,,,265
1,1,1,,0,1,55,S,5,33,4
0,3,1,45,1,4,27.9,S,,,761
0,1,0,,0,0,25.925,S,,,421
0,3,0,28,0,0,56.4958,S,,,486
0,1,0,61,0,0,33.5,S,2,19,795
0,3,0,4,4,1,29.125,Q,,,83
1,3,1,1,1,1,11.1333,S,,,199
0,3,0,21,0,0,7.925,S,,,79
0,1,0,56,0,0,30.6958,C,1,7,385
0,3,0,18,1,1,7.8542,S,,,475
0,3,0,,3,1,25.4667,S,,,342
0,1,1,50,0,0,28.7125,C,3,49,64
0,2,0,30,0,0,13,S,,,630
0,3,0,36,0,0,0,S,,,501
0,3,1,,8,2,69.55,S,,,147
0,2,0,,0,0,15.05,C,,,633
0,3,0,9,4,2,31.3875,S,,,144
1,2,0,1,2,1,39,S,6,4,638
1,3,1,4,0,2,22.025,S,,,507
0,1,0,,0,0,50,S,1,32,363
1,3,1,,1,0,15.5,Q,,,713
1,1,0,45,0,0,26.55,S,,,136
0,3,0,40,1,1,15.5,Q,,,414
0,3,0,36,0,0,7.8958,S,,,700
1,2,1,32,0,0,13,S,,,15
0,2,0,19,0,0,13,S,,,760
1,3,1,19,1,0,7.8542,S,,,121
1,2,0,3,1,1,26,S,6,2,562
1,1,1,44,0,0,27.7208,C,2,4,388
1,1,1,58,0,0,146.5208,C,2,80,205
0,3,0,,0,0,7.75,Q,,,647
0,3,0,42,0,1,8.4042,S,,,466
1,3,1,,0,0,7.75,Q,,,523
0,2,1,24,0,0,13,S,,,336
0,3,0,28,0,0,9.5,S,,,575
0,3,0,,8,2,69.55,S,,,270
0,3,0,34,0,0,6.4958,S,,,381
0,3,0,45.5,0,0,7.225,C,,,298
1,3,0,18,0,0,8.05,S,,,305
0,3,1,2,0,1,10.4625,S,7,6,706
0,3,0,32,1,0,15.85,S,,,459
1,3,0,26,0,0,18.7875,C,,,572
1,3,1,16,0,0,7.75,Q,,,330
1,1,0,40,0,0,31,C,1,31,338
0,3,0,24,0,0,7.05,S,,,24
